2023-06-05 16:16:39 INFO  Waitings:119 - TOTAL TIME that the ENTIRE of DATA COLLATION PAGE page was loading: 1.05 seconds.
2023-06-05 16:16:41 INFO  LandingPage:3813 - Document Number and Document Status fields are empty as expected.
2023-06-05 16:16:41 INFO  Waitings:271 - TOTAL TIME that 'RESET TO DEFAULT DATA COLLATION PAGE' menu item page was loading: 0.033 seconds.
2023-06-05 16:16:42 INFO  LandingPage:3683 - SET TO DEFAULT menu item was SUCCESSFULLY clicked on.
2023-06-05 16:16:43 INFO  Waitings:119 - TOTAL TIME that the DATA COLLATION PAGE after clicking on 'SET TO DEFAULT' menu item on PERSONALIZATION dropdown page was loading: 1.07 seconds.
2023-06-05 16:16:44 INFO  LandingPage:3731 - 'PERSONALIZATION' button on 'ITEM DATA' table was clicked SUCCESSFULLY.
2023-06-05 16:16:46 INFO  Waitings:119 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 1.077 seconds.
2023-06-05 16:16:48 INFO  LandingPage:1352 - The 'Item Status' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:48 INFO  Waitings:242 - TOTAL TIME that 'Item Status' WIDTH field page was loading: 0.026 seconds.
2023-06-05 16:16:48 INFO  LandingPage:1363 - Width for ITEM STATUS input field was SUCCESSFULLY changed.
2023-06-05 16:16:48 INFO  LandingPage:1376 - ITEM STATUS input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:49 INFO  LandingPage:1394 - The 'Transfer Posting' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:49 INFO  Waitings:242 - TOTAL TIME that 'Transfer Posting' WIDTH field page was loading: 0.031 seconds.
2023-06-05 16:16:49 INFO  LandingPage:1405 - Width for TRANSFER POSTING input field was SUCCESSFULLY changed.
2023-06-05 16:16:49 INFO  LandingPage:1418 - TRANSFER POSTING input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:49 INFO  LandingPage:1436 - The 'Item Number' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:49 INFO  Waitings:242 - TOTAL TIME that 'Item Number' WIDTH field page was loading: 0.03 seconds.
2023-06-05 16:16:49 INFO  LandingPage:1447 - Width for ITEM NUMBER input field was SUCCESSFULLY changed.
2023-06-05 16:16:49 INFO  LandingPage:1460 - ITEM NUMBER input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:50 INFO  LandingPage:1478 - The 'Sequence Number of the Item' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:50 INFO  Waitings:242 - TOTAL TIME that 'Sequence Number of the Item' WIDTH field page was loading: 0.03 seconds.
2023-06-05 16:16:50 INFO  LandingPage:1489 - Width for SEQUENCE NUMBER OF THE ITEM input field was SUCCESSFULLY changed.
2023-06-05 16:16:50 INFO  LandingPage:1502 - SEQUENCE NUMBER OF THE ITEM input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:50 INFO  LandingPage:1520 - The 'Posting Sequence' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:50 INFO  Waitings:242 - TOTAL TIME that 'Posting Sequence' WIDTH field page was loading: 0.012 seconds.
2023-06-05 16:16:50 INFO  LandingPage:1531 - Width for POSTING SEQUENCE input field was SUCCESSFULLY changed.
2023-06-05 16:16:50 INFO  LandingPage:1544 - POSTING SEQUENCE input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:51 INFO  LandingPage:1562 - The 'Item Category' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:51 INFO  Waitings:242 - TOTAL TIME that 'Item Category' WIDTH field page was loading: 0.041 seconds.
2023-06-05 16:16:51 INFO  LandingPage:1573 - Width for ITEM CATEGORY input field was SUCCESSFULLY changed.
2023-06-05 16:16:51 INFO  LandingPage:1586 - ITEM CATEGORY input field was selected in the FIXED column BY DEFAULT.
2023-06-05 16:16:51 INFO  LandingPage:1604 - The 'Reference Document' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:51 INFO  Waitings:242 - TOTAL TIME that 'Reference Document' WIDTH field page was loading: 0.015 seconds.
2023-06-05 16:16:51 INFO  LandingPage:1615 - Width for REFERENCE DOCUMENT input field was SUCCESSFULLY changed.
2023-06-05 16:16:51 INFO  LandingPage:1628 - REFERENCE DOCUMENT input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:52 INFO  LandingPage:1646 - The 'Reference Item' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:52 INFO  Waitings:242 - TOTAL TIME that 'Reference Item' WIDTH field page was loading: 0.015 seconds.
2023-06-05 16:16:52 INFO  LandingPage:1657 - Width for REFERENCE ITEM input field was SUCCESSFULLY changed.
2023-06-05 16:16:52 INFO  LandingPage:1670 - REFERENCE ITEM input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:52 INFO  LandingPage:1688 - The 'Material' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:52 INFO  Waitings:242 - TOTAL TIME that 'Material' WIDTH field page was loading: 0.014 seconds.
2023-06-05 16:16:52 INFO  LandingPage:1699 - Width for MATERIAL input field was SUCCESSFULLY changed.
2023-06-05 16:16:52 INFO  LandingPage:1712 - MATERIAL ITEM input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:53 INFO  LandingPage:1730 - The 'Material description' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:53 INFO  Waitings:242 - TOTAL TIME that 'Material description' WIDTH field page was loading: 0.028 seconds.
2023-06-05 16:16:53 INFO  LandingPage:1741 - Width for MATERIAL DESCRIPTION input field was SUCCESSFULLY changed.
2023-06-05 16:16:53 INFO  LandingPage:1754 - MATERIAL DESCRIPTION input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:53 INFO  LandingPage:1772 - The 'Quantity' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:53 INFO  Waitings:242 - TOTAL TIME that 'Quantity' WIDTH field page was loading: 0.014 seconds.
2023-06-05 16:16:53 INFO  LandingPage:1783 - Width for QUANTITY input field was SUCCESSFULLY changed.
2023-06-05 16:16:53 INFO  LandingPage:1796 - QUANTITY input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:54 INFO  LandingPage:1814 - The 'Base Unit of Measure' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2023-06-05 16:16:54 INFO  Waitings:242 - TOTAL TIME that 'Base Unit of Measure' WIDTH field page was loading: 0.028 seconds.
2023-06-05 16:16:54 INFO  LandingPage:1825 - Width for BASE UNIT OF MEASURE input field was SUCCESSFULLY changed.
2023-06-05 16:16:54 INFO  LandingPage:1838 - BASE UNIT OF MEASURE input field was unselected in the FIXED column BY DEFAULT.
2023-06-05 16:16:54 INFO  LandingPage:1856 - The 'Plant' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
