2021-01-05 17:07:24 INFO  Waitings:92 - TOTAL TIME that the ENTIRE of DATA COLLATION PAGE page was loading: 2.715 seconds.
2021-01-05 17:07:25 INFO  LandingPage:2927 - Document Number and Document Status fields are empty as expected.
2021-01-05 17:07:25 INFO  Waitings:246 - TOTAL TIME that 'RESET TO DEFAULT DATA COLLATION PAGE' menu item page was loading: 0.031 seconds.
2021-01-05 17:07:26 INFO  LandingPage:2827 - SET TO DEFAULT menu item was SUCCESSFULLY clicked on.
2021-01-05 17:07:27 INFO  Waitings:92 - TOTAL TIME that the DATA COLLATION PAGE after clicking on 'SET TO DEFAULT' menu item on PERSONALIZATION dropdown page was loading: 1.067 seconds.
2021-01-05 17:07:28 INFO  LandingPage:2792 - 'PERSONALIZATION' button on 'ITEM DATA' table was clicked SUCCESSFULLY.
2021-01-05 17:07:30 INFO  Waitings:92 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 1.284 seconds.
2021-01-05 17:07:32 INFO  LandingPage:2728 - The 'Set to Default' button (on 'PERSONALIZATION' popup) was detected to be ENABLED.
2021-01-05 17:07:32 INFO  LandingPage:2734 - The 'Set to Default' button (on 'PERSONALIZATION' popup) was clicked.
2021-01-05 17:07:33 INFO  Waitings:92 - TOTAL TIME that the DATA COLLATION PAGE after closing PERSONALIZATION popup page was loading: 1.037 seconds.
2021-01-05 17:07:34 INFO  LandingPage:2792 - 'PERSONALIZATION' button on 'ITEM DATA' table was clicked SUCCESSFULLY.
2021-01-05 17:07:35 INFO  Waitings:92 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 1.05 seconds.
2021-01-05 17:07:37 INFO  LandingPage:1421 - The 'Item Status' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
2021-01-05 17:07:37 INFO  Waitings:217 - TOTAL TIME that 'Item Status' WIDTH field page was loading: 0.036 seconds.
2021-01-05 17:07:37 INFO  LandingPage:1433 - Width for ITEM STATUS input field was SUCCESSFULLY changed.
2021-01-05 17:07:37 INFO  LandingPage:1443 - ITEM STATUS input field was selected in the FIXED column BY DEFAULT.
2021-01-05 17:07:38 INFO  LandingPage:1461 - The 'Transfer Posting' WIDTH field (on 'PERSONALIZATION' popup) was clicked for editing.
